Cut;Weight (g);Area  (cm2) 
1.2;10,96;26,42
1.3;10,42;26,94
2.1;20,56;50,00
2.2;20,27;45,35
2.3;20,10;44,85
3.1;30,43;126,09
3.2;30,47;103,66
3.3;28,30;144,84
4.1;40,44;153,71
4.2;40,66;158,04
4.3;40,67;156,28
5.1;50,88;115,62
5.2;50,87;124,99
6.1;60,36;130,41
6.2;60,66;146,11
7.1;70,81;136,34
7.2;70,29;147,28
8.1;80,24;352,02
8.2;80,48;280,85
8.3;80,30;274,39
9.1;90,05;214,61
9.2;90,14;223,76
9.3;90,82;266,79
10.1;100,30;242,04
10.2;100,16;249,41
10.3;100,82;193,74
11.1;110,90;102,20
11.3;110,39;163,95
11.2;110,79;152,71
12.1;120,49;238,03
12.2;120,33;241,63
12.3;120,47;206,99
13.1;130,35;235,40
13.2;130,41;261,24
13.3;130,18;278,62
14.1;140,36;280,84
14.2;140,11;284,30
14.3;140,02;282,35
15.1;150,82;336,13
15.2;150,22;383,98
15.3;150,81;474,37
16.1;160,26;445,13
16.2;160,31;401,82
16.3;160,37;445,78
17.1;170,12;388,04
17.2;170,42;491,93
17.3;170,39;466,07
18.1;180,10;419,99
18.2;180,29;438,47
18.3;180,62;435,21
25.3;250,48;452,87
26.1;260,16;562,53
26.2;260,03;436,12
26.3;260,16;411,34
27.1;270,02;476,47
27.2;270,00;544,61
27.3;270,37;461,10
28.1;280,52;545,50
28.2;280,78;498,95
28.3;280,47;549,84
34.1;310,90;508,31
34.2;340,93;489,80
34.3;340,53;471,19
35.1;350,02;533,38
35.2;350,42;570,88
35.3;350,65;530,81
36.1;360,80;523,17
36.2;360,15;640,31
37.1;370,16;577,59
37.2;370,15;543,51
40.1;400,00;568,14
41.1;410,18;719,09
41.2;410,64;649,22
41.3;410,23;604,99
42.1;420,04;615,53
42.2;420,36;596,69
43.1;430,07;646,27
43.3;430,42;628,49
44.1;440,32;750,65
44.2;440,71;622,83
44.3;440,71;710,32
